Timestamp (ET),Name,Live Popularity,Rating
2026-01-23 06:00:37,District Pizza Palace,0,4.7
2026-01-23 06:07:35,District Pizza Palace,0,4.7
2026-01-23 06:07:59,Domino's Pizza,0,2.5
2026-01-23 06:08:20,Papa Johns Pizza,0,3.7
2026-01-23 06:08:37,Wiseguy Pizza,0,4.8
2026-01-23 06:08:49,We,0,4.2
2026-01-23 06:39:23,District Pizza Palace,0,4.7
2026-01-23 06:39:37,Domino's Pizza,0,2.5
2026-01-23 06:39:48,Papa Johns Pizza,0,3.7
2026-01-23 06:40:02,Wiseguy Pizza,0,4.8
2026-01-23 06:40:20,We,0,4.2
2026-01-23 10:08:58,District Pizza Palace,0,4.7
2026-01-23 10:09:17,Domino's Pizza,100,2.5
2026-01-23 10:09:32,Papa Johns Pizza,0,3.7
2026-01-23 10:09:46,Wiseguy Pizza,0,4.8
2026-01-23 10:10:01,We,0,4.2
2026-01-23 13:18:13,District Pizza Palace,0,4.7
2026-01-23 13:18:32,Domino's Pizza,47,2.5
2026-01-23 13:18:47,Papa Johns Pizza,0,3.7
2026-01-23 13:19:00,Wiseguy Pizza,67,4.8
2026-01-23 13:19:15,We,0,4.2
2026-01-23 19:08:30,District Pizza Palace,0,4.7
2026-01-23 19:08:41,Domino's Pizza,0,2.5
2026-01-23 19:08:58,Papa Johns Pizza,100,3.7
2026-01-23 19:09:10,Wiseguy Pizza,100,4.8
2026-01-23 19:09:27,We,0,4.2
2026-01-23 20:07:45,District Pizza Palace,100,4.7
2026-01-23 20:08:02,Domino's Pizza,100,2.5
2026-01-23 20:08:19,Papa Johns Pizza,100,3.7
2026-01-23 20:08:30,Wiseguy Pizza,72,4.8
2026-01-23 20:08:49,We,0,4.2
2026-01-23 23:06:36,District Pizza Palace,9,4.7
2026-01-23 23:06:54,Domino's Pizza,44,2.5
2026-01-23 23:07:13,Papa Johns Pizza,37,3.7
2026-01-23 23:07:29,Wiseguy Pizza,100,4.8
2026-01-23 23:07:48,We,0,4.2
2026-01-23 23:13:10,District Pizza Palace,9,4.7
2026-01-23 23:13:28,Domino's Pizza,44,2.5
2026-01-23 23:13:40,Papa Johns Pizza,3,3.7
2026-01-23 23:14:00,Wiseguy Pizza,100,4.8
2026-01-23 23:14:20,We,0,4.2
2026-01-23 23:22:23,District Pizza Palace,9,4.7
2026-01-23 23:22:39,Domino's Pizza,44,2.5
2026-01-23 23:22:57,Papa Johns Pizza,3,3.7
2026-01-23 23:23:15,Wiseguy Pizza,0,4.8
2026-01-23 23:23:29,We,0,4.2
2026-01-24 00:22:56,District Pizza Palace,0,4.7
2026-01-24 00:23:06,Domino's Pizza,2,2.5
2026-01-24 00:23:22,Papa Johns Pizza,0,3.7
2026-01-24 00:23:39,Wiseguy Pizza,0,4.8
2026-01-24 00:23:58,We,0,4.2
2026-01-24 02:55:10,District Pizza Palace,0,4.7
2026-01-24 02:55:25,Domino's Pizza,0,2.5
2026-01-24 02:55:36,Papa Johns Pizza,0,3.7
2026-01-24 02:55:47,Wiseguy Pizza,0,4.8
2026-01-24 02:56:05,We,0,4.2
2026-01-24 03:02:25,District Pizza Palace,0,4.7
2026-01-24 03:02:45,Domino's Pizza,0,2.5
2026-01-24 03:03:02,Papa Johns Pizza,0,3.7
2026-01-24 03:03:12,Wiseguy Pizza,0,4.8
2026-01-24 03:03:30,We,0,4.2
2026-01-24 06:16:53,District Pizza Palace,0,4.7
2026-01-24 06:17:12,Domino's Pizza,0,2.5
2026-01-24 06:17:23,Papa Johns Pizza,0,3.7
2026-01-24 06:17:35,Wiseguy Pizza,0,4.8
2026-01-24 06:17:45,We,0,4.2
2026-01-24 06:55:47,District,0,4.7
2026-01-24 06:55:47,Dominos,0,2.5
2026-01-24 06:55:47,Papa,0,3.7
2026-01-24 06:55:47,Wiseguy,0,4.8
2026-01-24 06:55:47,WePizza,0,4.2
2026-01-24 07:11:14,District,0,4.7,0,0
2026-01-24 07:11:14,Dominos,0,2.5,0,0
2026-01-24 07:11:14,Papa,0,3.7,0,0
2026-01-24 07:11:14,Wiseguy,0,4.8,0,0
2026-01-24 07:11:14,WePizza,0,4.2,0,0
2026-01-24 07:19:12,District,0,4.7,0,0
2026-01-24 07:19:12,Dominos,0,2.5,0,0
2026-01-24 07:19:12,Papa,0,3.7,0,0
2026-01-24 07:19:12,Wiseguy,0,4.8,0,0
2026-01-24 07:19:12,WePizza,0,4.2,0,0
2026-01-24 07:34:07,District,0,4.7,0,0
2026-01-24 07:34:07,Dominos,0,2.5,0,0
2026-01-24 07:34:07,Papa,0,3.7,0,0
2026-01-24 07:34:07,Wiseguy,0,4.8,0,0
2026-01-24 07:34:07,WePizza,0,4.2,0,0
2026-01-24 08:26:23,District,0,4.7,0,0
2026-01-24 08:26:23,Dominos,0,2.5,0,0
2026-01-24 08:26:23,Papa,0,3.7,0,0
2026-01-24 08:26:23,Wiseguy,0,4.8,0,0
2026-01-24 08:26:23,WePizza,0,4.2,0,0
2026-01-24 10:08:46,District,0,4.7,0,0
2026-01-24 10:08:46,Dominos,38,2.5,61,-23
2026-01-24 10:08:46,Papa,0,3.7,31,-31
2026-01-24 10:08:46,Wiseguy,0,4.8,0,0
2026-01-24 10:08:46,WePizza,0,4.2,0,0
2026-01-24 11:00:29,District,0,4.7,36,-36
2026-01-24 11:00:29,Dominos,34,2.5,79,-45
2026-01-24 11:00:29,Papa,0,3.7,36,-36
2026-01-24 11:00:29,Wiseguy,31,4.8,39,-8
2026-01-24 11:00:29,WePizza,0,4.2,42,-42
2026-01-24 12:00:26,District,0,4.7,27,-27
2026-01-24 12:00:26,Dominos,0,2.5,70,-70
2026-01-24 12:00:26,Papa,0,3.7,34,-34
2026-01-24 12:00:26,Wiseguy,34,4.8,47,-13
2026-01-24 12:00:26,WePizza,0,4.2,51,-51
2026-01-24 13:00:25,District,9,4.7,45,-36
2026-01-24 13:00:25,Dominos,1,2.5,72,-71
2026-01-24 13:00:25,Papa,4,3.7,42,-38
2026-01-24 13:00:25,Wiseguy,27,4.8,56,-29
2026-01-24 13:00:25,WePizza,0,4.2,53,-53
2026-01-24 14:00:26,District,2,4.7,50,-48
2026-01-24 14:00:26,Dominos,0,2.5,54,-54
2026-01-24 14:00:26,Papa,100,3.7,44,56
2026-01-24 14:00:26,Wiseguy,0,4.8,56,-56
2026-01-24 14:00:26,WePizza,0,4.2,58,-58
2026-01-24 15:00:26,District,5,4.7,59,-54
2026-01-24 15:00:26,Dominos,3,2.5,61,-58
2026-01-24 15:00:26,Papa,67,3.7,65,2
2026-01-24 15:00:26,Wiseguy,0,4.8,56,-56
2026-01-24 15:00:26,WePizza,0,4.2,53,-53
2026-01-24 16:00:24,District,0,4.7,54,-54
2026-01-24 16:00:24,Dominos,67,2.5,47,20
2026-01-24 16:00:24,Papa,100,3.7,81,19
2026-01-24 16:00:24,Wiseguy,0,4.8,56,-56
2026-01-24 16:00:24,WePizza,0,4.2,60,-60
2026-01-24 17:00:27,District,31,4.7,50,-19
2026-01-24 17:00:27,Dominos,0,2.5,36,-36
2026-01-24 17:00:27,Papa,20,3.7,100,-80
2026-01-24 17:00:27,Wiseguy,1,4.8,58,-57
2026-01-24 17:00:27,WePizza,0,4.2,69,-69
2026-01-24 17:16:23,District,31,4.7,50,-19
2026-01-24 17:16:23,Dominos,100,2.5,36,64
2026-01-24 17:16:23,Papa,100,3.7,100,0
2026-01-24 17:16:23,Wiseguy,1,4.8,58,-57
2026-01-24 17:16:23,WePizza,0,4.2,69,-69
2026-01-24 18:00:23,District,100,4.7,45,55
2026-01-24 18:00:23,Dominos,100,2.5,27,73
2026-01-24 18:00:23,Papa,0,3.7,97,-97
2026-01-24 18:00:23,Wiseguy,26,4.8,60,-34
